rpid,parent_rpid,username,content,like_count,timestamp,ip_location
293961814513,0,hotrod007,李蓓？……,0,1774275714,IP属地：北京
295713784576,0,杳吾音馨,up主这期视频作得太棒了。看了很多次了，已经到了看到封面，还没点进来，眼泪就开始出来了。,0,1773672231,IP属地：广东
295398659360,0,BruceDu丶,也不知怎么了 看到这个视频 联想到家里奶奶和妈妈年轻和现在的变化 就忍不住的想哭,1,1773431133,IP属地：山东
295101739424,0,白泽314,染 发 不 是 她 自 杀 的 原 因 ， 被 造 黄 谣 和 盗 取 身 份 信 息 才 是,2,1773169092,IP属地：河北
294995759216,0,元守壹7777,"正知正念，并不会让人变得更好，真正让人变得更好，是心无所漏。

佛家认为，人的情欲，贪嗔痴，私心杂念，都属于能量外泄，而人的念头大小，建立在精气，自身能量之上，有漏，则精气不足，无法建立正确的知，念。

一个人气场最好的办法，是别人有念，而你无念，一个不好色的人，会让好色之徒胆怯，一个不贪财的人，会让贪好之人，面目羞耻，这是因为，你心这部分的能量，要高于对方。

而很多人，嘴上不贪财好色，心里爱财，且装出清高，好色，而遮遮掩掩，这都是自欺欺人，而无法产生能量的。

无欲则刚，无漏则强，无心则至善。",0,1773071715,IP属地：浙江
294871594960,0,是小小呆呆呆,不知不觉，杭州粉发女孩，已经离开我们有三年了……,10,1772969358,IP属地：广西
292471682641,0,说再见再见再见,妇女节的今天，再来看一遍,3,1772958283,IP属地：湖北
292414970337,0,忒咲消炎药,这世界很大,0,1772903754,IP属地：江西
294779308864,0,喝热水一下,啊啊啊,0,1772896304,IP属地：湖北
294766209808,0,紫外线大帝,"我们该如何看待女性？不是以猎奇的目光审视身体，不是以附属的前缀定义身份，更不是截取片段妄加评判。
真正的看见，是从历史的深处开始：看她穿越几千年的性别歧视降临人间，看她用汗水浇灌每一份荣誉，看她将梦想与敏感写入日记。
请注视她阔挺的肩头与素颜的笑靥，感受那副躯体下奔涌的生命力。她是人民，是创造者，是与男性共同撑起人类苍穹的另一半天空。",0,1772889709,IP属地：福建
292037320385,0,锅盖和尚o_0,@豆腐脑嘿嘿 宝宝 这个视频我之前看过 专门找来给你看看，宝宝你永远是最美的,1,1772594518,IP属地：加拿大
293721086832,0,灼灼红星,现如今，女性的地位，已经远远高于男性了。,5,1772151849,IP属地：湖南
291200757233,0,本劫勺,现在不可能有人了,1,1771997047,IP属地：山东
290357214065,0,一片空白的蓝色,《尊重是评论打动人心的入场券》,4,1771416850,IP属地：河北
292497059264,0,月亮岛上出太阳,永远记得那个粉色头发女生，坚决抵制网络暴力,8,1771339381,IP属地：天津
